"","Connective","SENT_ID","chi_surp","OOV","seq_len","TARGET_WORD","freq","chi_surp_llama2Chinese7B","OOV_llama2Chinese7B","seq_len_llama2Chinese7B","Plausibility","Z_Surp","Z_Surp_llama"
"53","ConnectiveN",53,6.11,1,38,"拒绝",5.09,6.19,0,25,"Plausible",-0.573287922354466,-0.178897463789473
"54","ConnectiveN",54,5.26,0,39,"酸",4.24,6.41,0,26,"Implausible",-0.752908634766068,-0.133471098515899
"55","ConnectiveH",55,12.02,0,39,"吓",4.69,0,1,25,"Plausible",0.675604325119148,-1.45703019580503
"56","ConnectiveH",56,8.2,1,37,"赶出",3.54,0.32,1,26,"Implausible",-0.131632288307113,-1.39095548267983
"57","ConnectiveN",57,15.64,1,38,"喝倒彩",2.12,12.9,1,23,"Plausible",1.44057724150739,1.20660667705453
"58","ConnectiveN",58,5.95,1,38,"拘留",4.21,6.33,0,24,"Implausible",-0.607098879984885,-0.149989776797199
"59","ConnectiveH",59,5.7,0,38,"好",6.24,0,1,27,"Plausible",-0.659928501282415,-1.45703019580503
"60","ConnectiveH",60,1.6,0,39,"脏",4.05,0.33,0,30,"Implausible",-1.52633429056191,-1.38889064789467
"61","ConnectiveN",61,7.32,1,39,"解雇",4.06,4.42,1,28,"Plausible",-0.317592555274419,-0.544373220763227
"62","ConnectiveN",62,7.99,0,37,"火",4.65,7.59,0,25,"Implausible",-0.176009170197039,0.11017940613327
"63","ConnectiveH",63,0,1,37,"苍老",3.33,0.32,1,26,"Plausible",-1.8644438668661,-1.39095548267983
"64","ConnectiveH",64,9.64,1,37,"不满意",3.74,7.63,0,25,"Implausible",0.172666330366661,0.118438745273919
"65","ConnectiveN",65,29.7,1,38,"紧张",4.94,16.48,0,26,"Plausible",4.41171514328048,1.94581753014269
"66","ConnectiveN",66,15.9,1,39,"肌肉发达",3.2,9.99,1,27,"Implausible",1.49552004765682,0.605739754572258
"67","ConnectiveH",67,11.64,1,38,"流血",4.07,7.66,0,27,"Plausible",0.595303300746902,0.124633249629407
"68","ConnectiveH",68,10.49,1,38,"气喘",3.09,2.54,1,26,"Implausible",0.352287042778263,-0.932562160373768
"69","ConnectiveN",69,5.78,0,37,"赢",5,0,1,22,"Plausible",-0.643023022467205,-1.45703019580503
"70","ConnectiveN",70,3.65,1,37,"获释",3.88,6.53,1,27,"Implausible",-1.09313139592216,-0.10869308109395
"71","ConnectiveH",71,7.25,0,38,"吐",4.41,7.65,0,27,"Plausible",-0.332384849237728,0.122568414844244
"72","ConnectiveH",72,14.47,1,37,"精力充沛",2.4,10.98,1,23,"Implausible",1.19333461383494,0.81015839830334
"73","ConnectiveN",73,0.12,1,38,"冷",4.63,7.56,0,29,"Plausible",-1.83908564864329,0.103984901777782
"74","ConnectiveN",74,5.56,1,39,"不舒服",3.56,1.39,0,25,"Implausible",-0.689513089209032,-1.17001816066745
"75","ConnectiveH",75,9.52,1,37,"小费",3.34,7.46,1,25,"Plausible",0.147308112143846,0.0833365539261578
"76","ConnectiveH",76,9.77,1,37,"兴奋",4.7,12.7,0,24,"Implausible",0.200137733441376,1.16530998135128
"77","ConnectiveN",77,8.38,1,38,"迟到",4.08,0.32,1,25,"Plausible",-0.0935949609728913,-1.39095548267983
"78","ConnectiveN",78,14.27,1,39,"失业",4.63,19.2,0,25,"Implausible",1.15107091679692,2.50745259170687
"79","ConnectiveH",79,11.92,1,37,"炸薯条",2.38,13.87,1,24,"Plausible",0.654472476600136,1.40689565121529
"80","ConnectiveH",80,16.48,1,39,"缩水",3.73,12.38,0,28,"Implausible",1.61808476906709,1.09923526822608
"81","ConnectiveN",81,13.19,1,38,"煮过头",2.67,12.69,1,27,"Plausible",0.922846952791589,1.16324514656612
"82","ConnectiveN",82,14.98,1,39,"漂亮",5.02,15.06,0,29,"Implausible",1.30110704128191,1.65261099064962
"84","ConnectiveH",84,13.5,1,37,"接受",5.47,7.22,0,24,"Implausible",0.988355683200527,0.0337805190822589
"85","ConnectiveN",85,7.09,1,38,"无聊",4.42,6.02,0,25,"Plausible",-0.366195806868147,-0.213999655137235
"86","ConnectiveN",86,0.77,0,35,"甜",4.25,3.94,0,28,"Implausible",-1.70172863326971,-0.643485290451025
"87","ConnectiveH",87,11.87,0,39,"淹",3.4,12.06,0,32,"Plausible",0.64390655234063,1.03316055510088
"88","ConnectiveH",88,19.33,1,38,"更清晰",3.41,5.84,1,27,"Implausible",2.22034245185893,-0.251166681270159
"90","ConnectiveN",90,18.32,1,37,"留校",3.18,9.06,1,24,"Implausible",2.00691078181691,0.41371011955215
"91","ConnectiveE",91,8.88,1,41,"释放",4.78,6.03,0,27,"Plausible",0.0120642816221691,-0.211934820352073
"93","ConnectiveN",93,5.84,1,38,"管教",3.41,0.6,1,24,"Plausible",-0.630343913355798,-1.33314010869528
"94","ConnectiveN",94,6.23,1,37,"晒伤",3.22,0.86,1,27,"Implausible",-0.547929704131651,-1.27945440428106
"95","ConnectiveE",95,5.87,0,39,"死",5.59,0,1,24,"Plausible",-0.624004358800095,-1.45703019580503
"96","ConnectiveE",96,5.69,1,38,"不清楚",4.15,3.54,0,22,"Implausible",-0.662041686134316,-0.726078681857523
"97","ConnectiveN",97,4.41,1,37,"袭击",4.75,2.76,0,24,"Plausible",-0.932529347177671,-0.887135795100194
