"","SOS_ID","ITEM_ID","SENT_ID","Connective","ita_surp_GePpeTto","OOV_GePpeTto","seq_len_GePpeTto","TARGET_WORD","freq","ita_surp_GroNLP","OOV_GroNLP","seq_len_GroNLP","ita_surp_llama2Italian7B","OOV_llama2Italian7B","seq_len_llama2Italian7B","Plausibility","Z_Surp_GePpeTto","Z_Surp_GroNLP","Z_Surp_llama2Italian7B"
"513","2SR2a_21",21,82,"ConnectiveN",10.01,0,33,"finì",3.77,8.43,0,33,9.33,1,38,"Implausible",0.0889936559303988,-0.410159532773911,-0.262447931044765
"514","2SR1a_23",23,91,"ConnectiveE",14.26,1,31,"esultato",2.78,20.03,1,31,14.28,1,47,"Implausible",0.836543883629173,1.46099334092122,0.343844177682014
"515","2SR1a_24",24,96,"ConnectiveE",15.04,0,34,"punto",5.62,13.61,0,34,14.06,0,45,"Plausible",0.973741337183301,0.425407009100293,0.316897861738602
"516","2SR1a_25",25,97,"ConnectiveN",9.2,1,30,"erbacce",3.12,16.25,1,31,9.57,1,44,"Plausible",-0.0534806227604264,0.85125559414815,-0.233051950015588
"517","2SR1a_26",26,102,"ConnectiveN",8.85,1,28,"delusa",3.65,12.19,1,28,4.56,1,45,"Implausible",-0.115043582688561,0.196352088354855,-0.846693053999662
"518","2SR1a_27",27,107,"ConnectiveE",3.29,0,29,"negative",4.06,4.72,0,29,6.33,0,44,"Implausible",-1.09301517468978,-1.00860583979192,-0.62989769390948
"519","2SR4a_29",29,116,"ConnectiveE",7.74,0,37,"promozione",4.65,6.11,0,37,20.81,1,52,"Plausible",-0.310286112746358,-0.784390107512936,1.14365982818421
"520","2SR3a_31",31,121,"ConnectiveN",5.68,1,30,"arrestata",3.78,7.47,1,30,2.78,1,38,"Plausible",-0.672628105466235,-0.565013563700404,-1.06471324663273
"521","2SR3a_32",32,126,"ConnectiveN",9.5,1,36,"furioso",3.66,8.81,1,36,9.73,1,52,"Implausible",-0.000712371393454028,-0.348863145532174,-0.21345462932947
"522","2SR3a_33",33,131,"ConnectiveE",7.34,0,36,"cadde",3.85,7.07,0,36,6.87,1,51,"Implausible",-0.380643781235655,-0.629536076586443,-0.563756736593832
"523","2SR3a_34",34,136,"ConnectiveE",6.42,0,28,"solo",6.33,8.78,0,29,3.12,0,43,"Plausible",-0.542466418761036,-0.353702333998627,-1.02306894017473
"524","2SR3a_35",35,137,"ConnectiveN",19.62,1,31,"cancellarla",2.67,23.62,1,32,24.8,1,46,"Plausible",1.77933664138574,2.04008289407342,1.63236801279428
"525","2SR3a_36",36,142,"ConnectiveN",3.73,0,29,"annullato",3.83,4.95,0,30,5.8,1,40,"Implausible",-1.01562173935155,-0.971505394882449,-0.694813818682247
"526","2SR3a_37",37,147,"ConnectiveE",18.01,1,34,"candele",3.86,20.44,1,34,20.28,1,52,"Implausible",1.49614702571633,1.52712891662941,1.07874370341144
"527","2SR2a_39",39,156,"ConnectiveE",5.17,0,31,"stanca",4.18,9.51,0,31,7.4,1,41,"Plausible",-0.762334132790087,-0.235948747981606,-0.498840611821065
"528","2SR2a_40",40,157,"ConnectiveN",1.35,0,29,"panico",4.36,2.92,0,30,9.43,1,45,"Plausible",-1.43424986686287,-1.2989571477791,-0.250199605615942
